n_evals,F
100,1.4093858971457638
200,3.3956292218507045
300,2.2094466962766477
400,5.455968852935262
500,5.455968852935262
600,5.455968852935262
700,5.455968852935262
800,0.723532148491503
900,0.723532148491503
1000,3.6631519237970527
1100,3.6631519237970527
1200,3.6631519237970527
1300,3.6631519237970527
1400,3.6631519237970527
1500,3.6631519237970527
1600,0.6649888912280103
1700,0.6649888912280103
1800,0.6649888912280103
1900,0.7792226579071279
2000,0.7792226579071279
2100,0.7792226579071279
2200,0.7792226579071279
2300,0.7792226579071279
2400,0.7792226579071279
2500,0.7792226579071279
2600,0.7792226579071279
2700,0.7792226579071279
2800,0.7792226579071279
2900,3.0468999173400952
3000,0.5826071706935905
3100,0.5826071706935905
3200,0.5826071706935905
3300,0.5826071706935905
3400,0.5826071706935905
3500,0.5826071706935905
3600,0.5828802039734119
3700,0.5828802039734119
3800,0.5828802039734119
3900,0.5828802039734119
4000,0.5828802039734119
4100,0.5828802039734119
4200,0.5828802039734119
4300,0.5828802039734119
4400,0.5828802039734119
4500,0.5828802039734119
4600,0.5828802039734119
4700,0.5828802039734119
4800,0.5828802039734119
4900,0.5828802039734119
5000,0.5828802039734119
5100,0.5828802039734119
5200,0.5828802039734119
5300,0.5828802039734119
5400,0.5828802039734119
5500,0.5828802039734119
5600,0.5828802039734119
5700,0.5828802039734119
5800,0.5828802039734119
5900,0.5828802039734119
6000,0.5828802039734119
6100,0.5828802039734119
6200,0.5828802039734119
6300,0.5828802039734119
6400,0.5828802039734119
6500,0.5828802039734119
6600,0.5828802039734119
6700,0.5828802039734119
6800,0.5828802039734119
6900,0.5290676044440539
7000,0.4888720808565886
7100,0.4888720808565886
7200,1.263140864708784
7300,1.263140864708784
7400,1.263140864708784
7500,1.263140864708784
7600,1.263140864708784
7700,1.263140864708784
7800,1.263140864708784
7900,1.263140864708784
8000,1.263140864708784
8100,1.263140864708784
8200,1.263140864708784
8300,1.263140864708784
8400,1.263140864708784
8500,1.263140864708784
8600,1.263140864708784
8700,1.263140864708784
8800,1.263140864708784
8900,1.263140864708784
9000,1.263140864708784
9100,1.263140864708784
9200,1.263140864708784
9300,1.263140864708784
9400,1.263140864708784
9500,1.263140864708784
9600,1.263140864708784
9700,1.263140864708784
9800,1.263140864708784
9900,1.263140864708784
10000,1.263140864708784
